country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Punjab,Khanna,"Kalal Majra, Khanna - PPCB","13-12-2025 20:00:00","30.736056 ",76.209694,NO2,25,32,28
India,Punjab,Khanna,"Kalal Majra, Khanna - PPCB","13-12-2025 20:00:00","30.736056 ",76.209694,CO,4,36,15
India,Punjab,Khanna,"Kalal Majra, Khanna - PPCB","13-12-2025 20:00:00","30.736056 ",76.209694,OZONE,24,26,25
India,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB","13-12-2025 20:00:00",30.9028,75.8086,PM2.5,92,153,117
India,Odisha,Baripada,"Meher Colony, Baripada - OSPCB","13-12-2025 20:00:00",21.941841,86.728318,NH3,1,5,3
India,Odisha,Baripada,"Meher Colony, Baripada - OSPCB","13-12-2025 20:00:00",21.941841,86.728318,SO2,8,29,14
India,Odisha,Bhubaneswar,"Lingraj Mandir, Bhubaneswar - OSPCB","13-12-2025 20:00:00",20.240790,85.836784,PM2.5,NA,NA,NA
India,Odisha,Bileipada,"Tata Township, Bileipada - OSPCB","13-12-2025 20:00:00",22.06156703,85.47409613,PM10,137,230,169
India,Nagaland,Kohima,"PWD Junction, Kohima - NPCB","13-12-2025 20:00:00",25.6635413,94.0989878,NO2,3,4,3
India,Odisha,Angul,"Hakimapada, Angul - OSPCB","13-12-2025 20:00:00",20.832874,85.104082,NO2,29,120,54
India,Odisha,Angul,"Hakimapada, Angul - OSPCB","13-12-2025 20:00:00",20.832874,85.104082,NH3,1,9,7
India,Odisha,Balasore,"Kalidaspur, Balasore - OSPCB","13-12-2025 20:00:00",21.51161,86.89088,CO,12,108,52
India,Odisha,Byasanagar,"Ferro Chrome Colony, Byasanagar - OSPCB","13-12-2025 20:00:00",20.94185,86.11510,NO2,NA,NA,NA
India,Odisha,Byasanagar,"Ferro Chrome Colony, Byasanagar - OSPCB","13-12-2025 20:00:00",20.94185,86.11510,CO,NA,NA,NA
